,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,error,error_binary
256,Disentangling the Influences of Leaders' Relational Embeddedness on Interorganizational Exchange,16.8,18.11,-79.59,12.11,20.1,16.6,6.61,0.0,0.0
257,Do the Stories They tell get them the Money They Need_ The Role of Entrepreneurial Narratives in Resource Acquisition,17.5,16.6,-91.1,13.51,20.5,8.571428571428571,6.82,0.0,0.0
258,Does Prevalence Mitigate Relevance_ The Moderating Effect of Group-Level OCB on Employee Performance,16.3,16.48,-68.09,11.32,18.0,7.1,6.63,0.0,0.0
259,Does Rudeness Really Matter_ The Effects of Rudeness on Task Performance and Helpfulness,14.9,14.79,-83.59,10.29,15.7,10.857142857142858,6.32,0.0,0.0
260,"Dual Tuning in a Supportive Context_ Joint Contributions of Positive Mood, Negative Mood, and Supervisory Behaviors to Employee Creativity",17.2,15.61,-64.8,12.83,19.3,28.666666666666668,6.52,0.0,0.0
261,Economic Distance and The Survival of Foreign Direct Investments,16.1,15.21,-64.7,12.92,18.7,14.2,6.78,0.0,0.0
262,Feedback-Seeking Behavior and Leader-Member Exchange_ Do Supervisor-Attributed Motives Matter_,18.4,17.53,-175.39,13.08,21.4,44.5,6.6,0.0,0.0
263,"Feeling the Heat_ Effects of Stress, Commitment, and Job Experience on Job Performance",18.1,16.31,-135.63,14.27,20.8,11.285714285714286,6.91,0.0,0.0
264,"High-Performance Human Resource Practices, Citizenship Behavior, and Organizational Performance_ A Relational Perspective",16.5,17.93,-76.75,11.21,19.1,23.0,6.52,0.0,0.0
265,Hourly Payment and Volunteering_ The Effect of Organizational Practices on Decisions About Time Use,18.4,15.27,-72.42,16.2,22.1,17.75,7.13,0.0,0.0
266,"Identity, Community, And Audience_ How Wholly Owned Foreign Subsidiaries Gain Legitimacy In China",16.7,16.54,-79.79,12.28,18.9,19.75,6.72,0.0,0.0
267,Individual-Level Cultural Values as Moderators of Perceived Organizational Support–Employee Outcome Relationships in China_ Comparing the Effects of Power Distance and Traditionality,16.3,16.54,-87.34,12.19,18.8,25.333333333333332,6.78,0.0,0.0
268,"Innovation, Appropriability, And The Underpricing Of Initial Public Offerings",18.8,15.5,-131.33,15.52,22.2,13.833333333333334,6.83,0.0,0.0
269,Interlevel Influences on the Reconstruction of Professional Role Identity,17.1,15.67,-67.04,13.52,20.1,17.6,6.56,0.0,0.0
270,Is More Fairness Always Preferred_ Self-Esteem Moderates Reactions to Procedural Justice,18.3,16.48,-92.72,13.85,21.3,10.857142857142858,6.68,0.0,0.0
271,"Is Public Ownership Bad for Professional Service Firms_ Ad Agency Ownership, Performance, and Creativity",17.0,16.02,-73.77,13.41,19.7,14.166666666666666,6.89,0.0,0.0
272,Knowledge-Based Innovation_ Emergence and Embedding of New Practice Areas in Management Consulting Firms,16.7,15.9,-65.11,13.35,19.4,14.166666666666666,6.89,0.0,0.0
273,Leadership Behavior and Employee Voice_ Is the Door Really Open_,16.4,16.19,-78.68,12.29,18.3,17.4,6.95,1.0,1.0
274,Level And Dispersion of Satisfaction in Teams_ Using Foci and Social Context to Explain the Satisfaction-Absenteeism Relationship,17.3,17.18,-71.44,12.28,19.7,11.142857142857142,6.54,0.0,0.0
275,Normalizing Dirty Work_ Managerial Tactics For Countering Occupational Taint,15.8,13.87,-108.12,13.2,18.3,16.0,6.69,1.0,1.0
276,Organizational Predictors of Women on Corporate Boards,18.7,17.01,-204.22,15.0,22.2,11.833333333333334,7.24,0.0,0.0
277,"Ownership form, Managerial Incentives, and the Intensity Of Rivalry",16.9,16.54,-71.23,12.07,18.7,20.75,6.49,0.0,0.0
278,"Prospect Theory, Behavioral Theory, and the Threat-Rigidity Thesis_ Combinative Effects on Organizational Decisions to Divest Formerly Acquired Units",17.2,16.48,-62.87,12.18,19.1,28.0,6.53,0.0,0.0
279,R&D Alliances and Firm Performance_ The Impact of Technological Diversity and Alliance Organization on Innovation,18.3,16.78,-120.74,14.63,22.2,19.5,6.66,0.0,0.0
280,Radical Change Accidentally_ The Emergence and Amplification of Small Change,16.6,15.15,-67.24,13.76,19.8,15.4,6.76,0.0,0.0
281,Rivalry Between Multinational Enterprises_ An Event History Approach,14.9,15.37,-51.47,10.8,16.9,16.6,6.38,0.0,0.0
282,"Secondhand Brokerage_ Evidence On The Importance Of Local Structure For Managers, Bankers, And Analysts",16.2,14.16,-48.49,12.4,17.9,13.0,6.2,0.0,0.0
283,Shared Leadership in Teams_ An Investigation of Antecedent Conditions and Performance,16.1,15.32,-78.37,11.6,17.4,13.166666666666666,6.49,0.0,0.0
284,Sorting and Incentive Effects of Pay for Performance_ An Experimental Investigation,16.6,15.32,-64.4,12.56,18.6,15.4,6.49,0.0,0.0
285,"Sticks And Stones_ Language, Face, And Online Dispute Resolution",14.9,14.45,-69.1,11.38,16.4,24.666666666666668,6.67,0.0,0.0
286,Swinging for the Fences_ The Effects of Ceo Stock Options on Company Risk Taking and Performance,16.5,14.05,-66.53,13.43,18.7,14.0,6.62,0.0,0.0
287,The Adoption Of Institutionally Contested Organizational Practices_ The Emergence Of Stock Option Pay In Germany,16.6,16.95,-71.03,11.81,18.9,21.0,6.48,0.0,0.0
288,"The Downside of Self-Management_ A Longitudinal Study of the Effects tf Conflict on Trust, Autonomy, and Task Interdependence in Self-Managing Teams",16.8,16.25,-207.71,12.94,19.4,16.4,6.88,0.0,0.0
289,The Effects Of Endowment And Loss Aversion In Managerial Stock Option Valuation,16.9,16.71,-79.9,12.19,19.2,13.0,6.57,0.0,0.0
290,The Emergence of Governance in an Open Source Community,16.0,15.5,-95.8,11.84,17.8,15.8,6.6,0.0,0.0
291,The Impact of Acquisitions on the Productivity of Inventors at Semiconductor Firms_ A Synthesis of Knowledge-Based and Incentive-Based Perspectives,16.7,16.25,-79.08,11.97,18.4,25.666666666666668,6.57,0.0,0.0
292,The Impact of Board Composition and Top Management Team Ownership Structure on Post-IPO Performance in Young Entrepreneurial Firms,15.9,15.61,-77.16,11.31,17.3,13.8,6.58,0.0,0.0
293,"The Independent and Interactive Roles of Procedural, Distributive, and Interactional Justice in Strategic Alliances",17.2,18.4,-72.05,12.85,20.9,19.75,6.81,0.0,0.0
294,"The Intersection of Organizational Identity, Knowledge, and Practice_ Attempting Strategic Change Via Knowledge Grafting",17.1,16.77,-74.79,13.58,20.6,12.833333333333334,6.84,0.0,0.0
295,The Moderating Role of Top Management Team Interdependence_ Implications for Real Teams and Working Groups,15.6,15.55,-60.03,11.24,17.2,8.625,6.62,0.0,0.0
296,The Performance Implications of Timing of Entry and Involvement in Multipartner Alliances,17.2,17.41,-72.55,12.58,20.2,17.0,6.54,0.0,0.0
297,The Use of Knowledge for Technological Innovation Within Diversified Firms,16.7,17.53,-71.13,12.44,19.7,12.833333333333334,6.77,0.0,0.0
298,Triggers And Enablers Of Sensegiving In Organizations,18.9,16.95,-85.99,14.37,21.9,20.75,6.71,0.0,0.0
299,Vicarious Learning from the Failures and Near-Failures of Others_ Evidence from the U.S. Commercial Banking Industry,16.7,16.71,-71.64,12.05,19.3,13.166666666666666,6.46,0.0,0.0
300,Vive La Résistance_ Competing Logics and the Consolidation of U.S. Community Banking,18.8,17.01,-188.93,15.3,22.8,21.75,7.11,0.0,0.0
301,When Does National Identity Matter_ Convergence and Divergence in International Business Ethics,18.9,16.37,-66.22,13.4,20.5,14.0,6.67,0.0,0.0
302,A Behavioral Theory of Firm Growth_ Sequential Attention to Size and Performance Goals,17.3,15.32,-184.46,13.3,19.5,13.0,6.7,0.0,0.0
303,Ceo Transformational Leadership_ The Role of Goal Importance Congruence in Top Management Teams,18.3,17.47,-165.61,12.69,20.4,13.333333333333334,6.61,0.0,0.0
304,Ceos On the Edge_ Earnings Manipulation and Stock-Based Incentive Misalignment,17.8,17.12,-150.01,13.22,20.8,8.5,6.77,0.0,0.0
305,"Cognition, Capabilities, and Incentives_ Assessing Firm Response to the Fiber-Optic Revolution",16.2,15.9,-69.1,11.15,17.6,17.4,6.45,0.0,0.0
306,Crossing the Organizational Species Barrier_ How Venture Capital Practices Infiltrated the Information Technology Sector,19.2,17.24,-180.67,15.75,23.1,17.4,7.31,0.0,0.0
307,Director Interlocks and Spillover Effects of Reputational Penalties From Financial Reporting Fraud,18.5,17.06,-176.71,13.49,21.2,28.333333333333332,6.68,0.0,0.0
308,Entrepreneurial Orientation and New Venture Performance_ The Moderating Role of Intra- And Extraindustry Social Capital,18.0,17.47,-159.89,14.1,21.7,25.333333333333332,7.09,0.0,0.0
309,Entry into Emergent and Uncertain Product-Markets_ The Role of Associative Rhetoric,16.9,15.61,-209.94,13.31,20.0,18.0,6.71,0.0,0.0
310,Exploring Nonlinearity In Employee Voice_ The Effects of Personal Control and Organizational Identification,17.7,17.12,-200.87,13.64,21.1,21.75,7.02,0.0,0.0
311,"Facing Differences With an Open Mind_ Openness to Experience, Salience of Intragroup Differences, and Performance of Diverse Work Groups",17.0,15.9,-173.97,12.33,19.2,8.625,6.42,2.0,1.0
312,Former Government Officials as Outside Directors_ The Role of Human and Social Capital,18.9,16.26,-170.28,14.76,21.4,15.4,7.08,0.0,0.0
313,"Friends, Acquaintances, or Strangers_ Partner Selection in R&D Alliances",17.7,16.31,-178.03,14.16,21.0,8.375,6.83,0.0,0.0
314,From the Head and the Heart_ Locating Cognition- and Affect-Based Trust in Managers' Professional Networks,16.3,15.55,-207.91,12.55,18.9,19.75,6.61,0.0,0.0
315,"Getting Them to Think Outside the Circle_ Corporate Governance, Ceos' External Advice Networks, and Firm Performance",19.4,16.6,-174.54,15.77,23.7,19.75,6.84,0.0,0.0
316,Giving Commitment_ Employee Support Programs and The Prosocial Sensemaking Process,18.9,16.43,-170.59,14.51,21.7,11.428571428571429,6.82,0.0,0.0
317,Gone but Not Lost_ The Different Performance Impacts of Employee Mobility Between Cooperators Versus Competitors,19.1,15.68,-149.57,16.13,23.2,20.0,7.04,0.0,0.0
318,Good Fences Make Good Neighbors_ A Longitudinal Analysis of an Industry Self-Regulatory Institution,18.9,15.33,-148.86,16.15,22.4,12.666666666666666,7.13,0.0,0.0
319,Horizontal and Vertical Relationships in Developing Economies_ Implications for SMEs' Access to Global Markets,18.8,16.89,-188.83,15.29,22.8,16.6,7.15,0.0,0.0
320,How Different Team Downsizing Approaches Influence Team-Level Adaptation And Performance,17.3,16.25,-148.29,12.43,19.1,10.25,6.6,0.0,0.0
321,How Do I Assess If My Supervisor and Organization are Fair_ Identifying The Rules Underlying Entity-Based Justice Perceptions,18.2,16.14,-162.33,14.37,21.5,13.0,6.67,0.0,0.0
322,How Do MNCS Vote in Developing Country Elections_,20.6,17.36,-137.52,17.92,26.9,19.25,7.14,0.0,0.0
323,International Joint Ventures and The Value of Growth Options,17.6,15.5,-179.66,14.92,21.4,10.428571428571429,6.93,0.0,0.0
324,"Keeping Your Headcount When All About You Are Losing Theirs_ Downsizing, Voluntary Turnover Rates, and The Moderating Role of HR Practices",18.5,17.18,-161.11,14.57,21.9,13.333333333333334,7.06,0.0,0.0
325,Learning In Hybrid-Project Systems_ The Effects of Project Performance on Repeated Collaboration,18.0,17.82,-218.91,13.41,22.0,15.4,6.69,0.0,0.0
326,"Making the Break Count_ An Episodic Examination of Recovery Activities, Emotional Experiences, and Positive Affective Displays",18.7,16.89,-151.33,13.82,21.1,12.285714285714286,6.84,0.0,0.0
327,Managerial Agents Watching other Agents_ Multiple Agency Conflicts Regarding Underpricing in IPO Firms,17.3,15.21,-134.51,13.49,19.7,10.857142857142858,6.67,0.0,0.0
328,Market Watch_ Information and Availability Cascades Among the Media and Investors in the U.S. IPO Market,18.8,15.97,-206.96,15.49,22.5,11.428571428571429,6.95,0.0,0.0
329,Momentum or Deceleration_ Theoretical and Methodological Reflections on the Analysis of Organizational Change,16.4,14.97,-157.25,12.46,18.3,16.2,6.51,0.0,0.0
330,Navigating The Bind of Necessary Evils_ Psychological Engagement and The Production of Interpersonally Sensitive Behavior,18.6,15.62,-164.66,15.45,22.1,20.75,6.95,0.0,0.0
331,Not All Responses to Breach are the Same_ The Interconnection of Social Exchange and Psychological Contract Processes in Organizations,18.1,16.66,-177.02,13.52,21.2,12.333333333333334,6.62,0.0,0.0
332,Organizational Change and Managerial Sensemaking_ Working Through Paradox,15.9,16.89,-121.18,12.05,18.6,10.285714285714286,6.7,0.0,0.0
333,"Performance Feedback, Slack, and The Timing of Acquisitions",16.3,17.06,-67.17,10.77,17.6,11.714285714285714,6.54,0.0,0.0
334,Puttin' on the Ritz_ Pre-Ipo Enlistment of Prestigious Affiliates as Deadline-Induced Remediation,19.0,15.68,-166.49,16.25,23.3,11.0,7.11,0.0,0.0
335,Reducing Causal Ambiguity In Acquisition Integration_ Intermediate Goals As Mediators OfIntegration Decisions and Acquisition Performance,16.3,17.87,-76.24,10.69,18.7,13.333333333333334,6.35,0.0,0.0
336,Resolving the Commitment Versus Flexibility Trade-Off_ The Role of Resource Accumulation Lags,19.3,17.07,-163.95,15.4,23.1,13.5,7.03,0.0,0.0
337,Resource Management In Dyadic Competitive Rivalry_ The Effects of Resource Bundling and Deployment,17.9,17.0,-149.61,12.96,20.3,13.166666666666666,6.58,0.0,0.0
338,Shaping Strategy as a Structuration Process,19.0,18.29,-84.87,14.07,22.5,19.75,6.69,0.0,0.0
339,"Sociopolitical Dynamics In Relations Between Top Managers and Security Analysts_ Favor Rendering, Reciprocity, and Analyst Stock Recommendations",19.7,16.89,-188.93,14.78,22.8,18.0,6.69,0.0,0.0
340,Staging Exchange Partner Choices_ When Do Status and Reputation Matter_,19.0,15.62,-156.41,15.46,22.1,22.333333333333332,6.85,0.0,0.0
341,The Contingent Value of Local Partners' Business Group Affiliations,19.8,16.89,-152.11,17.11,25.4,18.25,7.1,0.0,0.0
342,The Effects of Slack Resources and Environmentalthreat on Product Exploration and Exploitation,18.7,18.46,-160.6,14.15,22.5,15.6,6.94,0.0,0.0
343,The Implications of Debt Heterogeneity for R&D Investment and Firm Performance,18.9,17.36,-162.23,15.13,22.5,19.5,7.22,0.0,0.0
344,The Red Queen Effect_ Competitive Actions And Firm Performance,17.1,14.86,-128.49,14.37,20.4,8.428571428571429,6.74,0.0,0.0
345,The Use of Relational Discrimination to Manage Market Entry_ When Do Social Status and Structural Holes Work Against You_,18.0,16.37,-67.14,13.64,20.7,24.333333333333332,6.67,0.0,0.0
346,Top Management Team Functional Background Diversity and Firm Performance_ Examining The Roles of Team Member Colocation and Environmental Uncertainty,15.4,16.06,-73.4,9.72,16.3,17.8,6.35,0.0,0.0
347,"Toward An Integrative Perspective on Alliance Governance_ Connecting Contract Design, Trust Dynamics, and Contract Application",19.1,17.01,-181.08,15.07,23.1,39.0,6.71,0.0,0.0
348,Toward Unlocking The Full Potential of Acquisitions_ The Role of Organizational Restructuring,17.0,16.89,-79.49,11.91,19.3,20.5,6.54,0.0,0.0
349,Transformational Leadership's Role in Promoting Corporate Entrepreneurship_ Examining the CEO-TMT Interface,17.8,16.83,-209.44,13.73,20.9,17.8,6.98,0.0,0.0
350,Understanding Voluntary Turnover_ Path-Specific Job Satisfaction Effects and The Importance of Unsolicited Job Offers,16.1,14.34,-63.99,12.39,17.7,20.0,6.49,0.0,0.0
351,Untangling Safeguard and Production Coordination Effects in Long-Term Buyer-Supplier Relationships,17.1,17.29,-70.52,11.94,19.3,13.833333333333334,6.65,0.0,0.0
352,Weight Versus Voice_ How Foreign Subsidiaries Gain Attention From Corporate Headquarters,18.6,16.66,-156.1,15.73,23.0,19.25,7.12,0.0,0.0
353,When Does Decision Autonomy Increase Expatriate Managers' Adjustment_ An Empirical Test,19.6,17.47,-163.45,15.21,23.4,16.4,7.06,0.0,0.0
354,Within-Industry Diversification and Firm Performance in the Presence of Network Externalities_ Evidence From the Software Industry,18.1,16.72,-153.97,14.37,22.2,21.0,6.75,0.0,0.0
355,"Work-Unit Absenteeism_ Effects of Satisfaction, Commitment, Labor Market Conditions, and Time",18.7,17.24,-186.49,14.17,22.1,11.0,6.76,0.0,0.0
356,18The Enactment-Externalization Dialectic_ Rationalization and the Persistence of Counterproductive Technology Design Practices in Student Engineering,14.9,14.28,-61.15,11.24,16.1,13.166666666666666,6.38,0.0,0.0
357,"A Cross-Level Perspective on Employee Creativity_ Goal Orientation, Team Learning Behavior, and Individual Creativity",17.1,17.58,-86.94,12.12,19.3,29.0,6.75,0.0,0.0
358,A Matching Theory of Alliance Formation and Organizational Success_ Complementarity and Compatibility,15.7,15.9,-63.18,12.13,18.3,15.4,6.54,0.0,0.0
359,Applying Organizational Research to Public School Reform_ The Effects of Teacher Human and Social Capital on Student Performance,15.6,15.66,-69.0,11.02,17.4,15.0,6.35,0.0,0.0
360,Balancing Borders and Bridges_ Negotiating the Work-Home Interface via Boundary Work Tactics,14.8,13.99,-78.68,11.4,16.2,12.666666666666666,6.35,0.0,0.0
361,Bosses' Perceptions of Family-Work Conflict and Women's Promotability_ Glass Ceiling Effects,16.0,16.42,-68.49,11.06,17.9,15.0,6.44,0.0,0.0
362,Caveat Venditor_ Trust Asymmetries in Acquisitions of Entrepreneurial Firms,14.9,15.08,-67.58,10.41,16.2,12.666666666666666,6.23,0.0,0.0
363,Change in Newcomers' Supervisor Support and Socialization Outcomes After Organizational Entry,16.4,15.61,-71.03,11.55,18.3,19.0,6.25,0.0,0.0
364,"Character, Conformity, or the Bottom Line_ How and Why Downsizing Affected Corporate Reputation",17.2,17.12,-70.52,12.03,18.9,13.857142857142858,6.68,0.0,0.0
365,Combined Effects Of Organizational And Professional Identification On The Reciprocity Dynamic For Professional Employees,16.1,17.75,-101.42,10.72,18.5,14.5,6.53,0.0,0.0
366,"Conflicting Logics, Mechanisms of Diffusion, and Multilevel Dynamics in Emerging Institutional Fields",17.9,17.53,-82.64,13.42,21.0,21.5,6.79,0.0,0.0
367,Constructing Markets and Shaping Boundaries_ Entrepreneurial Power in Nascent Fields,15.9,16.6,-86.43,11.29,18.0,12.5,6.47,0.0,0.0
368,Customer Reactions to Emotional Labor_ the Roles of Employee Acting Strategies and Customer Detection Accuracy,16.3,16.95,-87.24,11.75,18.9,39.5,6.57,0.0,0.0
369,Discourse and Deinstitutionalization_ the Decline of DDT,17.1,16.19,-57.05,13.16,20.0,19.0,6.71,0.0,0.0
370,Does Corporate Investment Drive a “Race to the Bottom” in Environmental Protection_ A Reexamination of the Effect of Environmental Regulation on Investment,17.5,18.34,-78.58,11.66,19.7,14.5,6.53,0.0,0.0
371,Does Patent Strategy Shape the Long-Run Supply of Public Knowledge_ Evidence from Human Genetics,15.8,15.61,-55.43,12.25,18.7,11.285714285714286,6.48,0.0,0.0
372,"Employee Learning Orientation, Transformational Leadership, and Employee Creativity_ The Mediating Role of Employee Creative Self-Efficacy",16.0,17.23,-99.39,10.18,17.2,24.5,6.51,0.0,0.0
373,"Employee-Organization Exchange Relationships, HRM Practices, and Quit Rates of Good and Poor Performers",16.7,16.77,-70.83,11.86,19.0,15.6,6.47,0.0,0.0
374,Entrepreneur Passion And Preparedness In Business Plan Presentations_ A Persuasion Analysis Of Venture Capitalists' Funding Decisions,16.5,15.55,-80.81,12.82,18.7,21.25,6.83,0.0,0.0
375,Entrepreneurs' Optimism And New Venture Performance_ A Social Cognitive Perspective,15.9,17.29,-75.63,10.86,18.0,14.5,6.59,0.0,0.0
376,Environmental Performance and Executive Compensation_ An Integrated Agency-Institutional Perspective,16.3,16.48,-67.99,10.78,17.7,22.75,6.39,0.0,0.0
377,"Grades of Membership and Legitimacy Spillovers_ Foreign Banks in Shanghai, 1847–1935",16.7,15.5,-72.45,12.64,18.6,19.0,6.77,0.0,0.0
378,Individual and Opportunity Factors Influencing Job Creation in New Firms,16.6,15.55,-74.48,13.17,19.5,14.8,6.67,0.0,0.0
379,"Individual Power Distance Orientation and Follower Reactions to Transformational Leaders_ A Cross-Level, Cross-Cultural Examination",17.3,17.76,-104.16,11.43,19.8,20.75,6.33,0.0,0.0
380,Innovative Knowledge Assets and Economic Performance_ The Asymmetric Roles of Incentives and Monitoring,17.0,17.0,-78.07,11.5,18.6,16.8,6.46,0.0,0.0
381,"Institutionalization, Framing, and Diffusion_ The Logic of TQM Adoption and Implementation Decisions among U.S. Hospitals",16.7,16.48,-71.23,12.04,18.8,21.0,6.53,0.0,0.0
382,"Interactive Effects of Growth Need Strength, Work Context, and Job Complexity On Self-Reported Creative Performance",16.1,15.09,-62.67,11.84,17.6,13.666666666666666,6.4,0.0,0.0
383,Introduction to the Special Research Forum— Public Policy and Management Research_ Finding the Common Ground,16.4,15.5,-63.08,13.06,18.0,14.2,7.28,0.0,0.0
384,Learning From Supply-Side Agents_ The Impact Of Technology Solution Providers' Experiential Diversity On Clients' Innovation Adoption,17.3,18.34,-78.17,11.57,19.7,28.666666666666668,6.54,0.0,0.0
385,MNC Subsidiaries and Country Risk_ Internalization as a Safeguard Against Weak External Institutions,16.2,15.61,-72.35,12.53,18.6,14.4,6.59,0.0,0.0
386,Multimarket Contact and Service Quality_ Evidence From On-Time Performance In the U.S. Airline Industry,17.1,15.5,-68.15,13.52,20.2,11.142857142857142,6.42,0.0,0.0
387,"Origin of Alliance Portfolios_ Entrepreneurs, Network Strategies, and Firm Performance",16.1,15.21,-56.04,12.16,18.5,19.25,6.3,0.0,0.0
388,"Policy as Myth and Ceremony_ The Global Spread of Stock Exchanges, 1980–2005",16.8,16.31,-72.15,12.37,18.9,13.166666666666666,6.61,0.0,0.0
389,Promarket Reforms and Firm profitability in Developing Countries,15.1,15.72,-66.77,10.14,16.4,27.0,6.29,0.0,0.0
390,Public-Private Institutions as Catalysts of Upgrading in Emerging Market Societies,17.5,16.14,-76.21,13.98,20.6,19.5,6.78,0.0,0.0
391,Rivalry Deterrence In International Markets_ Contingencies Governing The Mutual Forbearance Hypothesis,16.7,17.12,-61.45,11.68,18.7,16.8,6.63,0.0,0.0
392,Searching for The Optimal Level of Employee Turnover_ A Study of a Large U.K. Retail Organization,16.1,14.74,-65.62,12.85,18.8,17.5,6.49,0.0,0.0
393,Searing Sentiment Or Cold Calculation_ The Effects Of Leader Emotional Displays On Team Performance Depend On Follower Epistemic Motivation,15.5,15.72,-75.73,10.65,16.8,13.666666666666666,6.44,0.0,0.0
394,Service Attribute Boundary Conditions of the Service Climate–Customer Satisfaction Link,16.4,16.54,-79.59,11.76,18.9,19.25,6.38,0.0,0.0
395,Structure! Agency! (And Other Quarrels)_ A Meta-Analysis Of Institutional Theories Of Organization,15.5,17.22,-73.7,10.09,17.4,10.25,6.47,0.0,0.0
396,Suspended In Self-Spun Webs Of Significance_ A Rhetorical Model Of Institutionalization And Institutionally Embedded Agency,16.1,15.61,-69.91,11.38,17.4,19.5,6.41,0.0,0.0
397,The Consequences of Human Resource Stocks and Flows_ A Longitudinal Examination of Unit Service Orientation and Unit Effectiveness,16.3,15.96,-70.12,11.5,17.9,19.0,6.32,0.0,0.0
398,The Contingent Nature of Public Policy and the Growth of U.S. Commercial Banking,17.2,16.48,-71.84,12.21,19.1,19.25,6.52,0.0,0.0
399,The Dynamics of Multimarket Competition in Exploration and Exploitation Activities,17.3,16.42,-80.81,12.52,19.4,16.4,6.66,0.0,0.0
400,The Infrastructure of Collective Action and Policy Content Diffusion in the Organic Food Industry,16.5,16.19,-77.66,11.45,17.9,14.166666666666666,6.58,0.0,0.0
401,The Parenting Paradox_ How Multibusiness Diversifiers Endorse Disruptive Technologies While Their Corporate Children Struggle,16.8,16.02,-56.14,12.83,19.3,19.5,6.78,0.0,0.0
402,"The Relationship Between Perceptions of Organizational Politics and Employee Attitudes, Strain, and Behavior_ A Meta-Analytic Examination",15.3,17.34,-173.19,8.76,16.5,18.4,6.04,1.0,1.0
403,The Role Of Context In Work Team Diversity Research_ A Meta-Analytic Review,16.0,17.46,-91.74,9.92,17.9,27.666666666666668,6.11,0.0,0.0
404,The Spillover Of Daily Job Satisfaction Onto Employees' Family Lives_ The Facilitating Role Of Work-Family Integration,19.9,15.91,-83.11,16.51,23.9,26.666666666666668,6.9,0.0,0.0
405,Turnover Contagion_ How Coworkers' Job Embeddedness and Job Search Behaviors Influence Quitting,16.0,15.61,-68.59,11.42,17.1,12.142857142857142,6.66,0.0,0.0
406,"Understanding Managerial Development_ Integrating Developmental Assignments, Learning Orientation, and Access to Developmental Opportunities in Predicting Managerial Competencies",18.4,17.64,-99.76,13.86,21.4,15.333333333333334,7.05,0.0,0.0
407,Understanding Shifting Power Relations within and across Organizations_ A Critical Genre Analysis,17.4,15.79,-84.36,13.79,20.4,17.2,6.62,0.0,0.0
408,When And How Diversity Benefits Teams_ The Importance Of Team Members' Need For Cognition,17.0,15.5,-71.23,12.16,18.1,28.0,6.58,0.0,0.0
409,When Does Scientist Recruitment Affect Technological Repositioning_,17.2,17.24,-70.52,11.76,19.1,20.25,6.46,0.0,0.0
410,Who Contracts_ Determinants of the Decision to Work as an Independent contractor among Information Technology Workers,15.8,15.26,-61.76,11.5,17.2,13.333333333333334,6.41,0.0,0.0
411,Work Process and Quality of Care in Early Childhood Education_ The Role of Job Crafting,16.1,15.44,-80.3,11.95,18.3,25.333333333333332,6.41,0.0,0.0
412,"A Little Help Here_ Board Control, CEO Identification with the Corporate Elite, and Strategic Help Provided to CEOs at Other Firms",16.7,15.09,-74.08,12.65,19.0,14.8,6.3,0.0,0.0
413,A Longitudinal Study of the Influence of Alliance Network Structure and Composition on Firm Exploratory Innovation,15.3,16.88,-58.1,10.2,17.2,15.4,6.31,0.0,0.0
414,A Matter of Appearances_ How Corporate Leaders Manage the Impressions of Financial Analysts about the Conduct of Their Boards,17.7,17.24,-79.29,11.47,19.3,16.8,6.19,0.0,0.0
415,A Tale of Two Assets_ The Effects of Firm Reputation and Celebrity on Earnings Surprises and Investors' Reactions,16.2,16.13,-77.87,11.3,18.1,12.333333333333334,6.48,0.0,0.0
416,Acquisitions As Exaptation_ The Legacy of Founding Institutions in the U.S. Commercial Banking Industry,17.1,17.06,-71.64,12.05,19.5,22.0,6.46,0.0,0.0
417,Activating Cross-Boundary Knowledge_ The Role of Simmelian Ties in the Generation of Innovations,17.4,16.26,-67.54,14.1,20.6,25.0,6.89,0.0,0.0
418,Affect and the Framing Effect within Individuals over Time_ Risk Taking in a Dynamic Investment Simulation,16.8,15.84,-71.84,12.13,18.7,18.5,6.39,0.0,0.0
419,Affective Responses to Professional Dissimilarity_ A Matter of Status,18.1,17.12,-90.28,12.85,20.5,26.333333333333332,6.61,0.0,0.0
420,Agency Theory Revisited_ CEO Return and Shareholder Interest Alignment,16.7,15.79,-70.83,11.99,18.2,15.4,6.55,0.0,0.0
421,An Examination of Whether and How Racial and Gender Biases Influence Customer Satisfaction,16.1,16.31,-78.07,11.21,18.0,11.714285714285714,6.36,0.0,0.0
422,Attention Patterns in the Boardroom_ How Board Composition and Processes Affect Discussion of Entrepreneurial Issues,15.4,16.71,-66.67,10.17,17.1,11.571428571428571,6.29,0.0,0.0
423,Being the Change_ Resolving Institutional Contradiction through Identity Work,16.6,14.86,-82.03,12.97,18.6,24.333333333333332,6.66,0.0,0.0
424,Building Sustainable Hybrid Organizations_ The Case of Commercial Microfinance Organizations,16.2,16.08,-79.39,12.07,18.4,25.0,6.68,0.0,0.0
425,"Built to Last but Falling Apart_ Cohesion, Friction, and Withdrawal from Interfirm Alliances",15.2,15.73,-61.15,11.44,17.3,12.166666666666666,6.52,0.0,0.0
426,CEO Hubris and Firm Risk Taking in China_ The Moderating Role of Managerial Discretion,16.0,16.07,-60.44,11.1,17.8,25.333333333333332,6.39,0.0,0.0
427,"CEO Personality, Strategic Flexibility, and Firm Performance_ The Case of the Indian Business Process Outsourcing Industry",16.3,17.11,-76.85,10.96,18.5,27.666666666666668,6.39,0.0,0.0
