,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,lexicon_count,sentence_count
255,Delegation And Employee Work Outcomes_ An Examination Of The Cultural Context Of Mediating Processes In China,19.1,18.57,3.5,13.65,20.9,22.25,7.25,5188,205
256,Disentangling the Influences of Leaders' Relational Embeddedness on Interorganizational Exchange,16.7,18.28,14.9,11.73,19.0,16.6,6.62,9669,432
257,Do the Stories They tell get them the Money They Need_ The Role of Entrepreneurial Narratives in Resource Acquisition,18.3,16.6,25.73,14.27,20.6,8.571428571428571,6.97,10817,381
258,Does Prevalence Mitigate Relevance_ The Moderating Effect of Group-Level OCB on Employee Performance,17.2,16.31,22.04,12.77,18.2,7.1,6.96,6495,274
259,Does Rudeness Really Matter_ The Effects of Rudeness on Task Performance and Helpfulness,15.9,14.92,31.41,11.59,16.5,10.857142857142858,6.45,8499,373
260,"Dual Tuning in a Supportive Context_ Joint Contributions of Positive Mood, Negative Mood, and Supervisory Behaviors to Employee Creativity",18.2,15.68,25.42,13.98,19.9,28.666666666666668,6.65,8148,284
261,Economic Distance and The Survival of Foreign Direct Investments,16.3,14.28,34.8,13.77,18.5,14.2,6.89,7073,254
262,Feedback-Seeking Behavior and Leader-Member Exchange_ Do Supervisor-Attributed Motives Matter_,17.9,17.7,22.04,12.09,19.3,44.5,6.54,6442,272
263,"Feeling the Heat_ Effects of Stress, Commitment, and Job Experience on Job Performance",16.4,15.55,30.91,12.06,17.3,11.285714285714286,6.64,7764,333
264,"High-Performance Human Resource Practices, Citizenship Behavior, and Organizational Performance_ A Relational Perspective",18.6,18.22,9.93,14.07,21.6,23.0,7.02,8396,308
265,Hourly Payment and Volunteering_ The Effect of Organizational Practices on Decisions About Time Use,18.0,15.04,30.64,15.64,20.8,17.75,7.04,7867,247
266,"Identity, Community, And Audience_ How Wholly Owned Foreign Subsidiaries Gain Legitimacy In China",17.3,15.79,19.3,13.55,19.0,19.75,6.99,7893,299
267,Individual-Level Cultural Values as Moderators of Perceived Organizational Support–Employee Outcome Relationships in China_ Comparing the Effects of Power Distance and Traditionality,17.6,17.0,18.18,14.34,20.6,25.333333333333332,7.26,6108,222
268,"Innovation, Appropriability, And The Underpricing Of Initial Public Offerings",17.0,14.92,27.96,12.84,18.2,13.833333333333334,6.52,8948,342
269,Interlevel Influences on the Reconstruction of Professional Role Identity,16.7,15.32,27.45,12.99,18.7,17.6,6.49,14859,557
270,Is More Fairness Always Preferred_ Self-Esteem Moderates Reactions to Procedural Justice,18.6,16.95,17.68,13.81,21.0,10.857142857142858,6.74,9003,321
271,"Is Public Ownership Bad for Professional Service Firms_ Ad Agency Ownership, Performance, and Creativity",16.7,15.61,29.69,12.77,17.9,14.166666666666666,6.84,8384,342
272,Knowledge-Based Innovation_ Emergence and Embedding of New Practice Areas in Management Consulting Firms,16.6,15.21,27.66,13.5,18.6,14.166666666666666,6.9,11811,446
273,Leadership Behavior and Employee Voice_ Is the Door Really Open_,17.3,16.25,20.11,13.61,19.0,17.4,7.19,5969,233
274,Level And Dispersion of Satisfaction in Teams_ Using Foci and Social Context to Explain the Satisfaction-Absenteeism Relationship,18.5,17.18,18.28,13.78,20.7,11.142857142857142,6.8,8854,323
275,Normalizing Dirty Work_ Managerial Tactics For Countering Occupational Taint,15.2,13.23,36.73,12.95,16.9,16.0,6.73,14122,546
276,Organizational Predictors of Women on Corporate Boards,17.3,16.02,20.52,13.5,18.6,11.833333333333334,7.19,5711,227
277,"Ownership form, Managerial Incentives, and the Intensity Of Rivalry",16.9,16.02,29.69,12.4,18.3,20.75,6.55,11261,459
278,"Prospect Theory, Behavioral Theory, and the Threat-Rigidity Thesis_ Combinative Effects on Organizational Decisions to Divest Formerly Acquired Units",17.8,16.48,21.13,12.63,18.7,28.0,6.67,9017,366
279,R&D Alliances and Firm Performance_ The Impact of Technological Diversity and Alliance Organization on Innovation,16.8,16.08,28.47,12.46,18.9,19.5,6.38,12942,503
280,Radical Change Accidentally_ The Emergence and Amplification of Small Change,16.2,14.51,34.7,13.65,18.7,15.4,6.77,15266,547
281,Rivalry Between Multinational Enterprises_ An Event History Approach,15.1,14.68,30.8,11.71,16.7,16.4,6.49,11095,474
282,"Secondhand Brokerage_ Evidence On The Importance Of Local Structure For Managers, Bankers, And Analysts",15.5,14.05,38.76,11.58,16.3,13.0,6.22,13373,559
283,Shared Leadership in Teams_ An Investigation of Antecedent Conditions and Performance,18.2,15.97,25.02,14.45,20.2,13.166666666666666,6.93,8480,291
284,Sorting and Incentive Effects of Pay for Performance_ An Experimental Investigation,17.0,14.8,26.54,13.44,18.8,15.4,6.6,10645,386
285,"Sticks And Stones_ Language, Face, And Online Dispute Resolution",15.3,13.81,38.35,12.5,16.3,24.666666666666668,6.82,7889,325
286,Swinging for the Fences_ The Effects of Ceo Stock Options on Company Risk Taking and Performance,16.3,13.58,35.0,13.45,17.9,14.0,6.64,12577,455
287,The Adoption Of Institutionally Contested Organizational Practices_ The Emergence Of Stock Option Pay In Germany,16.6,16.31,30.3,11.95,18.2,21.0,6.49,12539,524
288,"The Downside of Self-Management_ A Longitudinal Study of the Effects tf Conflict on Trust, Autonomy, and Task Interdependence in Self-Managing Teams",17.2,15.9,27.05,14.04,19.5,16.4,7.16,6445,238
289,The Effects Of Endowment And Loss Aversion In Managerial Stock Option Valuation,17.0,16.37,29.59,12.5,18.6,13.0,6.63,8701,354
290,The Emergence of Governance in an Open Source Community,17.0,14.74,27.56,13.29,18.2,15.8,6.8,13197,497
291,The Impact of Acquisitions on the Productivity of Inventors at Semiconductor Firms_ A Synthesis of Knowledge-Based and Incentive-Based Perspectives,17.2,15.84,29.48,12.62,18.1,25.666666666666668,6.71,10191,413
292,The Impact of Board Composition and Top Management Team Ownership Structure on Post-IPO Performance in Young Entrepreneurial Firms,17.1,15.55,28.98,13.05,18.2,13.8,6.93,8691,345
293,"The Independent and Interactive Roles of Procedural, Distributive, and Interactional Justice in Strategic Alliances",18.4,18.4,16.96,14.75,22.1,19.75,7.16,10233,356
294,"The Intersection of Organizational Identity, Knowledge, and Practice_ Attempting Strategic Change Via Knowledge Grafting",17.4,16.49,24.31,14.64,21.0,12.833333333333334,7.0,12952,434
295,The Moderating Role of Top Management Team Interdependence_ Implications for Real Teams and Working Groups,17.1,15.9,28.57,13.14,18.8,8.875,6.92,5662,221
296,The Performance Implications of Timing of Entry and Involvement in Multipartner Alliances,17.5,16.89,19.6,13.04,19.7,17.0,6.64,14317,549
297,The Use of Knowledge for Technological Innovation Within Diversified Firms,17.0,16.48,20.01,13.33,19.2,12.833333333333334,6.96,9143,356
298,Triggers And Enablers Of Sensegiving In Organizations,19.1,17.01,15.44,14.54,21.6,20.75,6.77,11205,371
299,Vicarious Learning from the Failures and Near-Failures of Others_ Evidence from the U.S. Commercial Banking Industry,17.5,16.25,27.05,13.18,19.8,13.166666666666666,6.59,14753,545
300,Vive La Résistance_ Competing Logics and the Consolidation of U.S. Community Banking,18.2,16.55,16.56,14.73,20.7,21.5,7.22,10311,354
301,When Does National Identity Matter_ Convergence and Divergence in International Business Ethics,19.5,16.37,17.68,13.72,20.2,14.0,6.71,8620,308
302,A Behavioral Theory of Firm Growth_ Sequential Attention to Size and Performance Goals,16.5,14.51,28.98,12.67,17.2,13.0,6.66,9536,378
303,Ceo Transformational Leadership_ The Role of Goal Importance Congruence in Top Management Teams,18.4,17.53,20.92,12.56,19.7,13.333333333333334,6.54,7133,288
304,Ceos On the Edge_ Earnings Manipulation and Stock-Based Incentive Misalignment,17.1,16.6,29.89,12.58,18.8,10.857142857142858,6.74,8221,338
305,"Cognition, Capabilities, and Incentives_ Assessing Firm Response to the Fiber-Optic Revolution",17.0,15.15,29.18,12.63,17.8,17.4,6.65,10593,423
306,Crossing the Organizational Species Barrier_ How Venture Capital Practices Infiltrated the Information Technology Sector,17.6,16.42,20.11,13.58,19.2,17.4,7.14,11009,430
307,Director Interlocks and Spillover Effects of Reputational Penalties From Financial Reporting Fraud,17.6,16.89,21.53,12.15,18.7,28.333333333333332,6.54,9748,403
308,Entrepreneurial Orientation and New Venture Performance_ The Moderating Role of Intra- And Extraindustry Social Capital,17.4,17.47,20.82,13.29,19.6,25.333333333333332,7.12,7540,303
309,Entry into Emergent and Uncertain Product-Markets_ The Role of Associative Rhetoric,16.1,14.57,28.88,12.71,17.5,18.0,6.67,8466,334
310,Exploring Nonlinearity In Employee Voice_ The Effects of Personal Control and Organizational Identification,17.2,17.41,21.94,12.86,19.1,21.5,7.02,6677,281
311,"Facing Differences With an Open Mind_ Openness to Experience, Salience of Intragroup Differences, and Performance of Diverse Work Groups",16.9,16.08,29.69,12.3,18.3,8.625,6.5,9576,391
312,Former Government Officials as Outside Directors_ The Role of Human and Social Capital,17.4,15.26,28.98,13.19,18.0,15.4,6.95,6492,258
313,"Friends, Acquaintances, or Strangers_ Partner Selection in R&D Alliances",15.9,15.96,31.82,11.73,17.2,8.375,6.61,9922,442
314,From the Head and the Heart_ Locating Cognition- and Affect-Based Trust in Managers' Professional Networks,15.5,15.03,31.82,11.64,16.5,19.75,6.56,8102,361
315,"Getting Them to Think Outside the Circle_ Corporate Governance, Ceos' External Advice Networks, and Firm Performance",19.0,16.14,21.26,15.32,22.2,19.75,6.76,10415,318
316,Giving Commitment_ Employee Support Programs and The Prosocial Sensemaking Process,18.3,15.73,25.83,13.92,20.0,11.428571428571429,6.75,11105,392
317,Gone but Not Lost_ The Different Performance Impacts of Employee Mobility Between Cooperators Versus Competitors,17.6,14.86,25.63,13.93,19.3,20.0,6.81,10248,360
318,Good Fences Make Good Neighbors_ A Longitudinal Analysis of an Industry Self-Regulatory Institution,16.4,14.39,29.69,12.63,16.9,12.5,6.75,10878,444
319,Horizontal and Vertical Relationships in Developing Economies_ Implications for SMEs' Access to Global Markets,17.5,16.6,19.71,13.34,19.5,16.6,6.99,9581,369
320,How Different Team Downsizing Approaches Influence Team-Level Adaptation And Performance,16.9,15.96,31.01,11.82,17.5,10.25,6.51,8054,347
321,How Do I Assess If My Supervisor and Organization are Fair_ Identifying The Rules Underlying Entity-Based Justice Perceptions,18.3,16.02,23.9,14.47,20.9,13.0,6.73,8671,287
322,How Do MNCS Vote in Developing Country Elections_,17.8,16.83,26.44,13.42,20.7,19.25,6.61,12287,444
323,International Joint Ventures and The Value of Growth Options,16.7,14.8,26.74,14.05,18.7,10.428571428571429,7.0,7361,269
324,"Keeping Your Headcount When All About You Are Losing Theirs_ Downsizing, Voluntary Turnover Rates, and The Moderating Role of HR Practices",18.0,16.48,27.25,14.07,19.9,13.333333333333334,7.13,8694,323
325,Learning In Hybrid-Project Systems_ The Effects of Project Performance on Repeated Collaboration,16.5,17.64,23.77,11.31,18.6,15.2,6.47,10394,472
326,"Making the Break Count_ An Episodic Examination of Recovery Activities, Emotional Experiences, and Positive Affective Displays",17.6,16.37,21.74,12.44,18.2,12.285714285714286,6.71,8518,355
327,Managerial Agents Watching other Agents_ Multiple Agency Conflicts Regarding Underpricing in IPO Firms,16.4,14.34,37.54,12.51,17.1,10.857142857142858,6.59,9499,379
328,Market Watch_ Information and Availability Cascades Among the Media and Investors in the U.S. IPO Market,18.1,15.97,25.02,14.21,20.1,11.428571428571429,6.8,11121,382
329,Momentum or Deceleration_ Theoretical and Methodological Reflections on the Analysis of Organizational Change,15.5,14.86,40.38,11.56,16.2,16.2,6.57,9120,409
330,Navigating The Bind of Necessary Evils_ Psychological Engagement and The Production of Interpersonally Sensitive Behavior,17.8,15.44,25.22,14.05,19.7,20.75,6.79,13531,468
331,Not All Responses to Breach are the Same_ The Interconnection of Social Exchange and Psychological Contract Processes in Organizations,17.8,16.54,19.1,13.21,19.7,12.333333333333334,6.68,9785,368
332,Organizational Change and Managerial Sensemaking_ Working Through Paradox,14.7,16.36,35.37,10.51,16.1,10.285714285714286,6.59,11625,615
333,"Performance Feedback, Slack, and The Timing of Acquisitions",17.0,16.24,23.66,11.9,17.4,11.714285714285714,6.77,6625,300
334,Puttin' on the Ritz_ Pre-Ipo Enlistment of Prestigious Affiliates as Deadline-Induced Remediation,17.4,14.86,25.73,13.95,19.3,11.0,6.85,9570,337
335,Reducing Causal Ambiguity In Acquisition Integration_ Intermediate Goals As Mediators OfIntegration Decisions and Acquisition Performance,17.4,17.99,14.09,12.01,19.2,13.166666666666666,6.64,9570,413
336,Resolving the Commitment Versus Flexibility Trade-Off_ The Role of Resource Accumulation Lags,17.2,16.31,21.63,12.64,18.3,13.5,6.83,8180,340
337,Resource Management In Dyadic Competitive Rivalry_ The Effects of Resource Bundling and Deployment,16.3,16.59,25.08,10.89,17.1,13.166666666666666,6.36,8939,431
338,Shaping Strategy as a Structuration Process,19.1,18.0,16.56,14.2,21.9,19.75,6.72,13680,470
339,"Sociopolitical Dynamics In Relations Between Top Managers and Security Analysts_ Favor Rendering, Reciprocity, and Analyst Stock Recommendations",19.2,16.48,17.47,13.6,20.3,18.0,6.55,11430,406
340,Staging Exchange Partner Choices_ When Do Status and Reputation Matter_,18.5,15.1,22.79,14.93,20.5,22.333333333333332,6.78,11716,374
341,The Contingent Value of Local Partners' Business Group Affiliations,17.0,16.08,28.88,12.62,18.6,18.25,6.61,9741,385
342,The Effects of Slack Resources and Environmentalthreat on Product Exploration and Exploitation,17.4,18.28,22.34,12.25,19.5,15.6,6.76,9112,389
343,The Implications of Debt Heterogeneity for R&D Investment and Firm Performance,17.3,16.6,29.59,13.14,18.9,19.5,7.06,8084,328
344,The Red Queen Effect_ Competitive Actions And Firm Performance,15.5,14.28,38.15,12.05,16.8,8.428571428571429,6.45,10972,447
345,The Use of Relational Discrimination to Manage Market Entry_ When Do Social Status and Structural Holes Work Against You_,19.0,16.31,22.18,15.14,21.8,24.333333333333332,6.82,10244,321
346,Top Management Team Functional Background Diversity and Firm Performance_ Examining The Roles of Team Member Colocation and Environmental Uncertainty,17.3,16.42,22.85,12.1,17.8,17.4,6.73,6931,303
347,"Toward An Integrative Perspective on Alliance Governance_ Connecting Contract Design, Trust Dynamics, and Contract Application",17.8,16.31,26.95,13.21,19.8,39.0,6.53,12926,476
348,Toward Unlocking The Full Potential of Acquisitions_ The Role of Organizational Restructuring,19.3,16.31,13.21,15.57,22.2,20.5,7.01,12047,372
349,Transformational Leadership's Role in Promoting Corporate Entrepreneurship_ Examining the CEO-TMT Interface,17.9,16.37,26.85,14.54,20.3,17.8,7.32,8285,303
350,Understanding Voluntary Turnover_ Path-Specific Job Satisfaction Effects and The Importance of Unsolicited Job Offers,16.7,13.7,34.09,13.88,18.5,20.0,6.71,9614,337
351,Untangling Safeguard and Production Coordination Effects in Long-Term Buyer-Supplier Relationships,17.8,17.06,20.82,12.84,19.3,13.833333333333334,6.89,10441,420
352,Weight Versus Voice_ How Foreign Subsidiaries Gain Attention From Corporate Headquarters,17.9,16.08,25.63,14.47,20.3,15.4,7.1,10871,382
353,When Does Decision Autonomy Increase Expatriate Managers' Adjustment_ An Empirical Test,18.9,17.0,17.47,14.13,21.0,16.4,7.0,6954,247
354,Within-Industry Diversification and Firm Performance in the Presence of Network Externalities_ Evidence From the Software Industry,16.3,15.9,30.5,11.68,17.9,21.0,6.4,8426,356
355,"Work-Unit Absenteeism_ Effects of Satisfaction, Commitment, Labor Market Conditions, and Time",17.8,16.89,19.91,13.08,19.7,11.0,6.74,9528,369
356,18The Enactment-Externalization Dialectic_ Rationalization and the Persistence of Counterproductive Technology Design Practices in Student Engineering,15.6,14.05,37.34,12.59,17.0,13.166666666666666,6.6,11332,448
357,"A Cross-Level Perspective on Employee Creativity_ Goal Orientation, Team Learning Behavior, and Individual Creativity",17.4,17.87,14.19,12.54,19.1,29.0,6.91,6935,300
358,A Matching Theory of Alliance Formation and Organizational Success_ Complementarity and Compatibility,15.6,15.26,29.28,12.43,17.8,15.4,6.6,11835,475
359,Applying Organizational Research to Public School Reform_ The Effects of Teacher Human and Social Capital on Student Performance,15.9,15.15,30.5,11.96,17.2,15.0,6.52,11639,491
360,Balancing Borders and Bridges_ Negotiating the Work-Home Interface via Boundary Work Tactics,15.0,13.47,38.05,12.24,16.3,12.0,6.52,15870,644
361,Bosses' Perceptions of Family-Work Conflict and Women's Promotability_ Glass Ceiling Effects,16.9,16.37,21.43,12.47,18.6,15.0,6.67,9076,374
362,Caveat Venditor_ Trust Asymmetries in Acquisitions of Entrepreneurial Firms,15.2,14.27,40.58,11.31,15.9,12.666666666666666,6.41,14577,660
363,Change in Newcomers' Supervisor Support and Socialization Outcomes After Organizational Entry,17.1,15.44,28.67,12.41,18.4,18.75,6.34,8344,327
364,"Character, Conformity, or the Bottom Line_ How and Why Downsizing Affected Corporate Reputation",17.0,16.48,23.66,11.88,17.7,13.857142857142858,6.77,9442,427
365,Combined Effects Of Organizational And Professional Identification On The Reciprocity Dynamic For Professional Employees,17.9,18.05,11.65,13.11,20.5,14.5,6.9,9180,358
366,"Conflicting Logics, Mechanisms of Diffusion, and Multilevel Dynamics in Emerging Institutional Fields",19.1,17.65,14.43,15.46,22.6,21.5,7.16,12634,405
367,Constructing Markets and Shaping Boundaries_ Entrepreneurial Power in Nascent Fields,15.5,15.66,32.33,11.29,16.9,12.5,6.52,14736,673
368,Customer Reactions to Emotional Labor_ the Roles of Employee Acting Strategies and Customer Detection Accuracy,17.7,16.89,17.78,13.92,20.7,39.5,6.92,7340,263
369,Discourse and Deinstitutionalization_ the Decline of DDT,18.0,16.2,23.8,14.82,21.1,19.0,6.96,14153,467
370,Does Corporate Investment Drive a “Race to the Bottom” in Environmental Protection_ A Reexamination of the Effect of Environmental Regulation on Investment,18.6,17.64,10.53,13.33,20.7,14.5,6.77,9064,339
371,Does Patent Strategy Shape the Long-Run Supply of Public Knowledge_ Evidence from Human Genetics,15.9,14.86,35.41,13.29,18.6,11.285714285714286,6.66,13055,480
372,"Employee Learning Orientation, Transformational Leadership, and Employee Creativity_ The Mediating Role of Employee Creative Self-Efficacy",17.1,17.69,16.93,11.44,17.9,24.5,6.83,5970,293
373,"Employee-Organization Exchange Relationships, HRM Practices, and Quit Rates of Good and Poor Performers",17.4,16.83,28.77,12.74,19.5,15.6,6.6,8908,351
374,Entrepreneur Passion And Preparedness In Business Plan Presentations_ A Persuasion Analysis Of Venture Capitalists' Funding Decisions,16.8,15.55,27.96,13.52,18.8,21.25,6.99,8326,318
375,Entrepreneurs' Optimism And New Venture Performance_ A Social Cognitive Perspective,18.0,17.06,19.1,13.88,20.1,14.5,7.03,7003,263
376,Environmental Performance and Executive Compensation_ An Integrated Agency-Institutional Perspective,17.6,16.54,21.02,12.84,18.9,22.75,6.89,9611,389
377,"Grades of Membership and Legitimacy Spillovers_ Foreign Banks in Shanghai, 1847–1935",17.3,15.15,26.34,13.89,19.1,19.0,6.99,8533,307
378,Individual and Opportunity Factors Influencing Job Creation in New Firms,16.5,14.57,34.7,13.41,18.8,14.8,6.65,11022,395
379,"Individual Power Distance Orientation and Follower Reactions to Transformational Leaders_ A Cross-Level, Cross-Cultural Examination",19.0,17.76,8.91,13.89,21.7,20.75,6.76,8352,295
380,Innovative Knowledge Assets and Economic Performance_ The Asymmetric Roles of Incentives and Monitoring,18.4,16.83,19.4,13.46,19.9,16.8,6.84,8590,326
381,"Institutionalization, Framing, and Diffusion_ The Logic of TQM Adoption and Implementation Decisions among U.S. Hospitals",17.3,16.08,18.79,13.41,19.5,21.0,6.76,10265,381
382,"Interactive Effects of Growth Need Strength, Work Context, and Job Complexity On Self-Reported Creative Performance",16.9,14.57,34.8,13.58,18.7,13.166666666666666,6.67,9282,334
383,Introduction to the Special Research Forum— Public Policy and Management Research_ Finding the Common Ground,16.8,14.63,35.41,14.54,18.4,14.2,7.58,7254,267
384,Learning From Supply-Side Agents_ The Impact Of Technology Solution Providers' Experiential Diversity On Clients' Innovation Adoption,19.1,18.45,9.52,13.96,21.8,28.666666666666668,6.94,9056,327
385,MNC Subsidiaries and Country Risk_ Internalization as a Safeguard Against Weak External Institutions,15.9,14.92,28.77,12.78,17.9,14.4,6.64,10106,398
386,Multimarket Contact and Service Quality_ Evidence From On-Time Performance In the U.S. Airline Industry,16.1,14.63,36.83,12.12,17.9,11.142857142857142,6.26,10489,407
387,"Origin of Alliance Portfolios_ Entrepreneurs, Network Strategies, and Firm Performance",15.2,14.97,41.19,10.82,16.2,19.25,6.31,12768,594
388,"Policy as Myth and Ceremony_ The Global Spread of Stock Exchanges, 1980–2005",17.0,15.96,27.96,13.17,18.9,13.166666666666666,6.81,12421,474
389,Promarket Reforms and Firm profitability in Developing Countries,16.7,14.97,28.27,13.0,18.1,27.0,6.74,9353,361
390,Public-Private Institutions as Catalysts of Upgrading in Emerging Market Societies,17.7,15.56,23.7,14.7,20.5,19.5,6.86,14215,467
391,Rivalry Deterrence In International Markets_ Contingencies Governing The Mutual Forbearance Hypothesis,17.8,16.37,18.28,13.88,20.0,16.8,7.02,9793,357
392,Searching for The Optimal Level of Employee Turnover_ A Study of a Large U.K. Retail Organization,15.2,14.34,39.16,11.66,16.6,17.25,6.39,10349,441
393,Searing Sentiment Or Cold Calculation_ The Effects Of Leader Emotional Displays On Team Performance Depend On Follower Epistemic Motivation,17.0,16.37,29.89,12.71,18.4,13.666666666666666,6.84,7999,329
394,Service Attribute Boundary Conditions of the Service Climate–Customer Satisfaction Link,18.1,16.66,15.95,14.25,21.2,19.25,6.71,8408,283
395,Structure! Agency! (And Other Quarrels)_ A Meta-Analysis Of Institutional Theories Of Organization,17.9,17.06,20.01,13.75,19.8,10.25,7.14,9696,378
396,Suspended In Self-Spun Webs Of Significance_ A Rhetorical Model Of Institutionalization And Institutionally Embedded Agency,16.6,15.5,30.3,12.14,17.5,19.5,6.55,13240,554
397,The Consequences of Human Resource Stocks and Flows_ A Longitudinal Examination of Unit Service Orientation and Unit Effectiveness,16.7,15.84,30.2,12.22,17.9,19.5,6.51,10717,447
398,The Contingent Nature of Public Policy and the Growth of U.S. Commercial Banking,18.0,16.31,18.89,13.32,19.6,19.25,6.73,11109,415
399,The Dynamics of Multimarket Competition in Exploration and Exploitation Activities,17.6,15.73,19.1,13.3,19.1,16.4,6.83,9325,351
400,The Infrastructure of Collective Action and Policy Content Diffusion in the Organic Food Industry,17.8,16.19,19.6,13.44,19.1,14.0,6.91,11825,453
401,The Parenting Paradox_ How Multibusiness Diversifiers Endorse Disruptive Technologies While Their Corporate Children Struggle,17.3,15.68,25.53,14.1,19.8,19.5,6.97,10459,366
402,"The Relationship Between Perceptions of Organizational Politics and Employee Attitudes, Strain, and Behavior_ A Meta-Analytic Examination",18.9,18.86,12.16,12.88,20.9,18.0,6.72,8335,332
403,The Role Of Context In Work Team Diversity Research_ A Meta-Analytic Review,18.2,18.51,12.67,12.47,20.4,27.666666666666668,6.54,11444,466
404,The Spillover Of Daily Job Satisfaction Onto Employees' Family Lives_ The Facilitating Role Of Work-Family Integration,19.7,15.79,19.13,16.23,23.1,26.666666666666668,6.85,8591,246
405,Turnover Contagion_ How Coworkers' Job Embeddedness and Job Search Behaviors Influence Quitting,14.8,15.14,36.89,9.97,14.8,12.142857142857142,6.53,9974,573
406,"Understanding Managerial Development_ Integrating Developmental Assignments, Learning Orientation, and Access to Developmental Opportunities in Predicting Managerial Competencies",19.8,18.34,6.27,15.71,23.2,15.333333333333334,7.39,6274,203
407,Understanding Shifting Power Relations within and across Organizations_ A Critical Genre Analysis,16.9,15.26,26.95,13.33,19.0,17.2,6.56,15603,573
408,When And How Diversity Benefits Teams_ The Importance Of Team Members' Need For Cognition,18.3,15.67,17.78,14.01,19.7,28.0,6.91,8016,287
409,When Does Scientist Recruitment Affect Technological Repositioning_,18.3,16.77,18.79,13.33,20.1,20.25,6.68,10862,404
410,Who Contracts_ Determinants of the Decision to Work as an Independent contractor among Information Technology Workers,15.4,14.45,40.89,11.05,15.8,13.333333333333334,6.33,10780,494
411,Work Process and Quality of Care in Early Childhood Education_ The Role of Job Crafting,16.3,15.26,28.77,12.44,18.1,25.333333333333332,6.49,12202,481
412,"A Little Help Here_ Board Control, CEO Identification with the Corporate Elite, and Strategic Help Provided to CEOs at Other Firms",17.6,14.92,31.45,14.51,20.3,15.0,6.55,12782,411
413,A Longitudinal Study of the Influence of Alliance Network Structure and Composition on Firm Exploratory Innovation,16.0,16.36,23.97,11.62,17.4,15.4,6.66,9899,455
414,A Matter of Appearances_ How Corporate Leaders Manage the Impressions of Financial Analysts about the Conduct of Their Boards,19.8,17.53,16.05,14.07,21.7,16.8,6.53,12030,406
415,A Tale of Two Assets_ The Effects of Firm Reputation and Celebrity on Earnings Surprises and Investors' Reactions,18.2,16.2,25.53,14.02,20.2,12.333333333333334,6.83,9795,342
416,Acquisitions As Exaptation_ The Legacy of Founding Institutions in the U.S. Commercial Banking Industry,18.5,16.89,17.17,13.97,20.9,22.0,6.78,14102,494
417,Activating Cross-Boundary Knowledge_ The Role of Simmelian Ties in the Generation of Innovations,17.7,15.68,24.21,14.78,20.4,25.0,7.03,7479,250
418,Affect and the Framing Effect within Individuals over Time_ Risk Taking in a Dynamic Investment Simulation,17.7,15.61,26.64,13.45,19.5,18.5,6.58,10826,393
419,Affective Responses to Professional Dissimilarity_ A Matter of Status,18.9,17.18,9.01,13.88,21.0,26.333333333333332,6.75,9365,332
420,Agency Theory Revisited_ CEO Return and Shareholder Interest Alignment,18.0,15.38,25.83,14.19,19.7,15.4,6.9,9506,336
421,An Examination of Whether and How Racial and Gender Biases Influence Customer Satisfaction,16.8,15.96,28.88,12.48,18.6,11.571428571428571,6.51,12508,495
422,Attention Patterns in the Boardroom_ How Board Composition and Processes Affect Discussion of Entrepreneurial Issues,16.4,17.06,23.26,11.6,18.1,11.571428571428571,6.58,8970,398
423,Being the Change_ Resolving Institutional Contradiction through Identity Work,17.1,14.57,33.68,14.2,19.1,24.333333333333332,6.87,15743,544
424,Building Sustainable Hybrid Organizations_ The Case of Commercial Microfinance Organizations,17.4,15.85,25.22,14.31,20.0,25.0,7.01,11464,397
425,"Built to Last but Falling Apart_ Cohesion, Friction, and Withdrawal from Interfirm Alliances",15.5,14.86,37.84,12.65,17.4,12.166666666666666,6.75,11103,448
426,CEO Hubris and Firm Risk Taking in China_ The Moderating Role of Managerial Discretion,16.6,15.09,30.3,12.39,17.3,25.333333333333332,6.69,9934,416
427,"CEO Personality, Strategic Flexibility, and Firm Performance_ The Case of the Indian Business Process Outsourcing Industry",17.6,17.24,21.02,12.84,19.4,27.666666666666668,6.8,11184,453
428,Changing Landscapes_ The Construction of Meaning and Value in a New Market Category—Modern Indian Art,18.2,15.15,22.58,15.26,20.6,15.6,6.99,11183,355
429,Consequences of Differentiated Leadership in Groups,16.9,17.64,16.52,11.47,18.1,12.571428571428571,6.74,7228,348
430,"Discourse, Field-Configuring Events, and Change in Organizations and Institutional Fields_ Narratives of DDT and the Stockholm Convention",18.2,15.44,22.48,15.33,21.1,28.0,7.01,14770,468
431,Do Shareholders or Stakeholders Appropriate the Rents from Corporate Diversification_ The Influence of Ownership Structure,17.6,17.87,21.74,12.31,19.5,18.2,6.63,8768,365
432,Earnings Pressure and Competitive Behavior_ Evidence from the U.S. Electricity Industry,17.8,17.0,19.91,12.96,19.8,17.75,6.65,11346,439
433,Failing to Learn_ The Effects of Failure and Success on Organizational Learning in the Global Orbital Launch Vehicle Industry,17.3,17.12,19.4,12.92,19.9,14.8,6.57,12250,466
434,Formal Dining at Cambridge Colleges_ Linking Ritual Performance and Institutional Maintenance,16.1,13.76,36.52,13.02,17.2,15.8,6.72,15348,588
435,"From Ritual to Reality_ Demography, Ideology, and Decoupling in a Post-Communist Government Agency",16.2,14.86,29.59,12.45,17.3,16.4,6.66,12644,514
